feature,log2FC,pval,padj,class,Species.Name,Molecular.Species.Name,Structural.Species.Name,Level,networkId,GATOM.abbr
LPS(18:1),0.9500910790449724,0.0386216664856743,0.11763073703983364,LPS,LPS 18:1,LPS 18:1,LPS 18:1/0:0,MOLECULAR_SPECIES,LPS,LPS(18:1)
LPS(18:2),3.804925912719943,0.003559256928188671,0.03310344098273311,LPS,LPS 18:2,LPS 18:2,LPS 18:2/0:0,MOLECULAR_SPECIES,LPS,LPS(18:2)
LPS(20:4),0.0807396077282042,0.5972466360740696,0.6874690002469609,LPS,LPS 20:4,LPS 20:4,LPS 20:4/0:0,MOLECULAR_SPECIES,LPS,LPS(20:4)
LPS(22:6),0.3216026241474235,0.32990631788345043,0.4564688439256948,LPS,LPS 22:6,LPS 22:6,LPS 22:6/0:0,MOLECULAR_SPECIES,LPS,LPS(22:6)
MG(16:0),0.2907369423129458,0.06787116423845549,0.15964478196958443,MG,MG 16:0,NA,NA,SPECIES,MG,MG(16:0)
MG(16:1),-0.08038871164694722,0.8316646750664398,0.8839500770352532,MG,MG 16:1,NA,NA,SPECIES,MG,MG(16:1)
MG(18:0),-0.18115995904805773,0.07565229849825571,0.17082847400410642,MG,MG 18:0,NA,NA,SPECIES,MG,MG(18:0)
MG(18:1),-0.6004681376601106,0.018423083665163213,0.07756984131272227,MG,MG 18:1,NA,NA,SPECIES,MG,MG(18:1)
MG(18:2),-0.45814520796015534,0.09577381578373827,0.1992832089961631,MG,MG 18:2,NA,NA,SPECIES,MG,MG(18:2)
MG(20:4),1.783899097433471,0.004310545448683646,0.035572837516052266,MG,MG 20:4,NA,NA,SPECIES,MG,MG(20:4)
MG(22:6),-0.5632779145704643,0.29620117726375284,0.4216969392097113,MG,MG 22:6,NA,NA,SPECIES,MG,MG(22:6)
PA(30:0),0.6755603389292879,0.14993980417730565,0.27039144686640787,PA,PA 30:0,NA,NA,SPECIES,PA,PA(30:0)
PA(32:0),-0.05176009992459481,0.9043448315677249,0.9333096797876196,PA,PA 32:0,NA,NA,SPECIES,PA,PA(32:0)
PA(32:1),-0.9337767376859253,0.0416261270330958,0.1201319260554192,PA,PA 32:1,NA,NA,SPECIES,PA,PA(32:1)
PA(32:2),-0.8415694816025391,0.1994682312419454,0.32800095167748466,PA,PA 32:2,NA,NA,SPECIES,PA,PA(32:2)
PA(34:1),-0.6115585378762959,0.03145428386742479,0.10408450204030235,PA,PA 34:1,NA,NA,SPECIES,PA,PA(34:1)
PA(34:2),-0.6558403985032025,0.08218528979925417,0.18000907603804253,PA,PA 34:2,NA,NA,SPECIES,PA,PA(34:2)
PA(34:3),-0.5543758233469464,0.20147965863254255,0.3287016880880591,PA,PA 34:3,NA,NA,SPECIES,PA,PA(34:3)
PA(36:1),0.9073731534516712,0.018496320756638023,0.07756984131272227,PA,PA 36:1,NA,NA,SPECIES,PA,PA(36:1)
PA(36:2),0.2804519955877406,0.2757580291161465,0.39875789770663617,PA,PA 36:2,NA,NA,SPECIES,PA,PA(36:2)
PA(36:3),-0.18593033851535606,0.4609308453723272,0.5669617673479824,PA,PA 36:3,NA,NA,SPECIES,PA,PA(36:3)
PA(36:4),-0.4365412372575572,0.16138966950223277,0.286268233444944,PA,PA 36:4,NA,NA,SPECIES,PA,PA(36:4)
PA(36:5),-0.5090038114994154,0.2033680686566242,0.330396772201903,PA,PA 36:5,NA,NA,SPECIES,PA,PA(36:5)
PA(38:3),0.662529401288189,0.0014794150689261115,0.02052214236638529,PA,PA 38:3,NA,NA,SPECIES,PA,PA(38:3)
